City,Date,Lat,Lon,AirTemp,MaxTemp,MinTemp,DewPoint,Humidity,Pressure,Rainfall,WindSpeed,WindDir,Cloud,Sunshine,Radiation,Evaporation,Event_Occurred,Start_Date,End_Date,Days_Since_Start,Days_Until_End
HK,20150101,22.3023,114.1742,16,19.2,13.7,8.3,61,1024.5,0,7.2,130,16,9.5,16.59,3.5,0,,,0,0
HK,20150102,22.3023,114.1742,15.2,17.1,13.1,10,71,1025,0,8.7,110,21,9.5,15.53,3.7,0,,,0,0
HK,20150103,22.3023,114.1742,15.5,17.9,13.2,8.9,65,1022.3,0,9,130,2,9.6,16.42,1.5,0,,,0,0
HK,20150104,22.3023,114.1742,17.3,19.6,15.2,13.2,78,1017,0,9.1,130,56,7.8,15.4,3.3,0,,,0,0
HK,20150105,22.3023,114.1742,19,20.7,18.1,15.7,81,1014.5,0,10.6,130,88,0.6,8.15,1.9,0,,,0,0
HK,20150106,22.3023,114.1742,20.2,23.9,18.2,17.4,84,1014.8,0,2.3,290,49,7.8,14.96,2.5,0,,,0,0
HK,20150107,22.3023,114.1742,18.1,19.2,16.2,14.2,79,1019.7,0.1,5.5,50,70,0,3.55,3.2,0,,,0,0
HK,20150108,22.3023,114.1742,15.7,18,13.6,9.7,68,1025.1,0,7.1,50,32,8.9,16.34,3.3,0,,,0,0
HK,20150109,22.3023,114.1742,15.5,17.5,14.1,9.9,70,1025,0,6.5,120,34,8.4,15.22,2,0,,,0,0
HK,20150110,22.3023,114.1742,16.3,19.2,13.9,9.9,67,1023.4,0,8.3,120,23,9.5,15.83,3,0,,,0,0
HK,20150111,22.3023,114.1742,16.9,19.6,14.9,10.4,66,1022.3,0,5.8,120,79,3.1,9.86,3.5,0,,,0,0
HK,20150112,22.3023,114.1742,14.1,17.1,12,11.2,83,1021.5,14.9,10.9,40,89,0,1.63,0.7,0,,,0,0
HK,20150113,22.3023,114.1742,12.6,13.9,11.7,11.2,91,1020.9,25.8,5.7,40,82,0.1,3.16,1,0,,,0,0
HK,20150114,22.3023,114.1742,13.7,17.5,10.3,6.9,65,1022,0,9.9,40,13,9.8,18.49,3.1,0,,,0,0
HK,20150115,22.3023,114.1742,14.5,17.6,11.4,8.1,66,1022.7,0,4.8,120,20,9.8,18.06,1.9,0,,,0,0
HK,20150116,22.3023,114.1742,16.7,20.2,14.5,10.6,68,1022.4,0,3.9,60,29,9.4,17,4,0,,,0,0
HK,20150117,22.3023,114.1742,15.7,17.7,13.5,9.1,65,1024.1,0,10.6,130,14,9.6,17,1.7,0,,,0,0
HK,20150118,22.3023,114.1742,16.2,19.2,13.9,8.9,63,1023.7,0,8.6,110,28,9,16.09,4,0,,,0,0
HK,20150119,22.3023,114.1742,15.8,19.3,13,6,54,1022.4,0,7.9,40,15,8.8,17.07,4.3,0,,,0,0
HK,20150120,22.3023,114.1742,15.9,18.5,14.2,9.7,67,1021.3,0,7.7,120,45,6.8,14.69,2.7,0,,,0,0
HK,20150121,22.3023,114.1742,17.2,20.4,14.2,11.4,70,1020.9,0,1.6,290,37,5.6,10.9,1.3,0,,,0,0
HK,20150122,22.3023,114.1742,17.4,20.7,15.3,5.9,48,1021.5,0,8.9,120,14,9.9,18.14,3.4,0,,,0,0
HK,20150123,22.3023,114.1742,16.3,19.3,14.4,10.4,68,1020.6,0,8.3,130,31,9.9,17.7,3.1,0,,,0,0
HK,20150124,22.3023,114.1742,17,18.5,15.8,12.7,76,1019.1,0.9,12.1,120,85,1.5,9.05,1,0,,,0,0
HK,20150125,22.3023,114.1742,18.2,19.7,16.6,14.4,79,1018.9,0,11.2,130,81,1.5,9.9,2.3,0,,,0,0
HK,20150126,22.3023,114.1742,18.6,21.5,16.6,15.5,82,1018.5,0,9.5,130,51,8.8,16.76,2.8,0,,,0,0
HK,20150127,22.3023,114.1742,18.3,19.8,17.2,15.3,82,1017.9,0,10.2,130,71,4.4,10.88,3.1,0,,,0,0
HK,20150128,22.3023,114.1742,16.9,18.5,16.1,12.8,77,1018.8,0,12.3,110,75,5.2,14.49,4.2,0,,,0,0
HK,20150129,22.3023,114.1742,16.8,19.5,14.9,12.9,78,1019.6,0,10.3,130,23,10,18.09,2.4,0,,,0,0
HK,20150130,22.3023,114.1742,16.8,19.6,15.5,13,79,1021.9,0,4.8,120,49,3.8,9.71,2,0,,,0,0
HK,20150131,22.3023,114.1742,15.5,16.5,14.7,12.3,81,1025.6,0,6.8,120,83,0.2,4.81,1.5,0,,,0,0
HK,20150201,22.3023,114.1742,15.3,17.2,14.2,11.3,78,1026.3,0,7.4,120,83,0.7,6.85,1.9,0,,,0,0
HK,20150202,22.3023,114.1742,16.3,19.1,14.7,12.2,77,1025.4,0,7.7,110,53,8.6,17.33,3,0,,,0,0
HK,20150203,22.3023,114.1742,17.1,19.8,15.5,13.6,80,1024.6,0,8.2,130,58,8.8,17.52,2.8,0,,,0,0
HK,20150204,22.3023,114.1742,16.2,17.9,14.2,12.6,80,1023.5,0,4.9,120,80,0.3,3.84,2.5,0,,,0,0
HK,20150205,22.3023,114.1742,14,16.5,12.5,6.9,62,1024.9,0,7.3,40,84,3,10.16,3.1,0,,,0,0
